,2000,3000,4000
1,2.41715,5.14431,9.02354
2,2.46384,5.74968,6.70621
10,2.30698,4.91582,8.65097
20,2.41974,5.5249,8.65585
40,2.59763,5.38511,9.30727
60,2.64123,5.67702,8.64367
80,2.63721,5.57048,9.03595
100,2.61988,5.86432,9.04519
120,2.64166,5.54288,8.64299
