,2000,3000,4000
1,1490.55,3347.53,5818.64
2,718.364,1625.79,2661.95
10,127.692,297.738,593.096
20,71.806,167.581,295.432
40,36.8802,86.253,152.95
60,26.413,57.1772,103.96
80,19.5576,43.697,80.3897
100,16.0662,35.3686,64.2113
120,13.6203,30.541,51.3374
