CPUs Number,dynamic_100,dynamic_1000,dynamic_10000,static,simple
1,1.0,1.0,1.0,1.0,1.0
2,1.8999697870622616,1.8311439118385728,2.070059460721792,1.6360978064046905,1.8345926283526626
4,3.317593807632288,4.102512020469662,2.206977122774761,3.9647509023527565,2.0667613142309675
8,5.177446917440967,5.047369324073315,2.009498122464164,4.8429030640832815,3.935598465827327
10,5.773405133506662,5.348227836094599,2.331539333117514,9.17303690876845,4.023118114113375
12,6.024432851921621,6.802133285078063,2.077848234410218,8.324002382370459,4.403249710328474
16,7.208636766462451,8.070601285828452,2.184599829378495,15.856898008449004,7.383548336082055
20,7.092559069670461,8.198313361040094,2.2382487763188563,16.380030921151064,8.486244368565234
